family,source,target,k,n_concepts,acc_mean,acc_clean_mean,boot_ci95,nb_se,null_mean,null_p95,p_perm,q_fdr,mean_rank,n_collision_total
exploratory,English,Indonesian,100,1738,0.18011628013895448,0.1644568071893491,"[0.16118178661850138, 0.20053870734087728]",0.014883877696971297,0.05586967842418598,0.06681927140524344,0.004975124378109453,0.004975124378109453,672.4829765824386,209
exploratory,English,Turkish,100,1804,0.18181203987977818,0.17123446731172565,"[0.16469980897775868, 0.20175260078619237]",0.01465168150199828,0.05329063577884687,0.0649623751054361,0.004975124378109453,0.004975124378109453,669.83792258721,205
exploratory,English,Arabic,100,1835,0.1530954404350698,0.14050655913708462,"[0.13551257248334939, 0.16965267878355905]",0.013329663831205756,0.052447529202206675,0.06271134558598919,0.004975124378109453,0.004975124378109453,714.6838299797138,134
exploratory,English,Hebrew,100,1838,0.14202163141578678,0.12661853127321948,"[0.12876744893503625, 0.15420295321511468]",0.009865958255447404,0.052559528798338494,0.06256345924868734,0.004975124378109453,0.004975124378109453,727.0996670867644,139
exploratory,English,Swahili,100,1574,0.17368126567436687,0.15334753307766266,"[0.15303331504950082, 0.19546332184202292]",0.016685462774961104,0.061917163477289795,0.07411805372592994,0.004975124378109453,0.004975124378109453,614.9895993389231,363
exploratory,English,Hindi,100,1804,0.3177094364553193,0.29276212928169815,"[0.29822129291029476, 0.3411864406779661]",0.015753172325040164,0.054577524939939635,0.06597691210780961,0.004975124378109453,0.004975124378109453,537.7615196351995,199
exploratory,English,Semantics,100,1836,0.2118817032787097,0.17692907928168058,"[0.18792989821865447, 0.22994917716487567]",0.016603151544468016,0.053862341808002895,0.06376172775424378,0.004975124378109453,0.004975124378109453,603.6139791650305,81
exploratory,Hungarian,English,100,1691,0.21687861252286272,0.1805162850815219,"[0.2022869831592018, 0.23377106887945284]",0.012399988894260729,0.05587506525518128,0.0660780622262415,0.004975124378109453,0.004975124378109453,600.5259700448809,75
exploratory,Finnish,English,100,1799,0.1787900706294481,0.15755443362873717,"[0.16140794299626687, 0.19842114769563324]",0.014360945981114478,0.05290764485590299,0.06271764923414672,0.004975124378109453,0.004975124378109453,663.3445291623966,81
exploratory,Greek,English,100,1842,0.15962397179788484,0.13984818837010377,"[0.14333108108108109, 0.17810436251468859]",0.013564828476894197,0.05035574324324324,0.059186398354876615,0.004975124378109453,0.004975124378109453,693.0316157461809,81
exploratory,Russian,English,100,1840,0.23260869565217387,0.21324649546040858,"[0.21900815217391303, 0.24619565217391304]",0.0108400027402497,0.05105978260869565,0.06089673913043477,0.004975124378109453,0.004975124378109453,621.0923913043478,81
exploratory,German,English,100,1840,0.4559510508370095,0.4415022244479653,"[0.4374341822221366, 0.471287148918341]",0.013650816367977351,0.05144693818908003,0.06193804781260234,0.004975124378109453,0.004975124378109453,429.89634362980235,81
exploratory,Spanish,English,100,1841,0.38727039227395604,0.37476146563896245,"[0.3677149676850764, 0.40908241509506665]",0.01586876906905146,0.05160026375270495,0.06246507162900605,0.004975124378109453,0.004975124378109453,476.39261909807163,81
exploratory,Italian,English,100,1840,0.37659925963026464,0.36096325169493276,"[0.3564306525431347, 0.39620257146847493]",0.014942753597281288,0.05179323353110773,0.0625066508061875,0.004975124378109453,0.004975124378109453,472.34705078563945,81
confirmatory,French,English,100,1842,0.4191010575793185,0.40801057170100136,"[0.40065804935370164, 0.4386673766157463]",0.015344195967993093,0.051539189189189184,0.06080243830787309,0.004975124378109453,0.004975124378109453,446.54891891891896,81
confirmatory,Irish,English,100,1842,0.26382491186839013,0.2573014993126941,"[0.24695967978848415, 0.27983166862514686]",0.012799763675129255,0.05084549059929494,0.061374999999999985,0.004975124378109453,0.004975124378109453,605.547999412456,81
exploratory,Welsh,English,100,1751,0.291304911946182,0.25860121769778777,"[0.26451326325260954, 0.3187407915751865]",0.021161746559654106,0.053227009168849246,0.06334550248113002,0.004975124378109453,0.004975124378109453,528.6520872339528,79
confirmatory,Chinese,English,100,1842,0.08307873090481785,0.08242710246250894,"[0.0742350910693302, 0.08962984723854286]",0.00568817775657651,0.052263748531139846,0.06193052291421856,0.004975124378109453,0.004975124378109453,822.660490599295,81
exploratory,Vietnamese,English,100,1786,0.11645579821629451,0.09850169562008203,"[0.10360538505773433, 0.1282207375698222]",0.009614305914463467,0.05418486639560662,0.06438723573330939,0.004975124378109453,0.004975124378109453,747.6670650593776,79
exploratory,Japanese,English,100,1841,0.23735898942420683,0.23803964052091345,"[0.2260869565217391, 0.24863102232667447]",0.008725776581401943,0.04617671856639248,0.05703598707403055,0.004975124378109453,0.004975124378109453,640.5500146886017,81
