pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
艮卦-dynamic,mountain / descent,k,-0.124,21,10,0.5,1009,0.3284,0.6109,False
離卦-static,fire / enclosure,v,0.495,7,4,0.75,50,0.3333,0.6183,False
艮卦-dynamic,mountain / descent,x,0.236,7,3,0.33,79,0.3383,0.6202,False
乾卦-static,sky / fullness,l,-0.196,19,9,0.67,357,0.3383,0.6202,False
震卦-dynamic,thunder / rising,r,0.178,16,7,0.71,485,0.3383,0.6202,False
離卦-dynamic,fire / contraction,h,0.158,14,9,0.56,516,0.3383,0.6202,False
乾卦-dynamic,sky / tumult,ɛ,-0.459,8,5,0.8,47,0.3433,0.6257,False
艮卦-static,mountain / cover,c,0.188,8,4,0.5,104,0.3433,0.6257,False
震卦-dynamic,thunder / rising,t͡s,0.282,6,4,0.5,48,0.3483,0.6311,False
中卦-static,center / uniformity,m,0.225,20,10,0.5,271,0.3483,0.6311,False
坎卦-dynamic,water / dispersal,t͡ʃ,0.304,8,6,0.5,55,0.3582,0.6363,False
巽卦-static,wind / detachment,m,0.252,21,11,0.64,170,0.3582,0.6363,False
乾卦-static,sky / fullness,z,0.245,10,5,0.4,78,0.3532,0.6363,False
離卦-dynamic,fire / contraction,d͡ʒ,-0.221,5,4,0.75,63,0.3532,0.6363,False
離卦-dynamic,fire / contraction,f,0.138,17,8,0.62,331,0.3582,0.6363,False
坎卦-static,water / core,p,-0.124,21,11,0.73,460,0.3582,0.6363,False
震卦-static,thunder / base,n,-0.105,22,11,0.55,1586,0.3582,0.6363,False
兌卦-static,marsh / cavity,ɪ,0.573,6,3,0.67,39,0.3632,0.6394,False
離卦-static,fire / enclosure,z,0.512,5,3,0.33,27,0.3682,0.6394,False
離卦-static,fire / enclosure,e,0.307,18,10,0.6,141,0.3682,0.6394,False
坎卦-dynamic,water / dispersal,v,0.26,11,4,0.75,104,0.3682,0.6394,False
兌卦-dynamic,marsh / emission,ɑ,0.232,6,3,0.67,266,0.3632,0.6394,False
離卦-dynamic,fire / contraction,a͡ɪ,0.229,6,3,0.67,239,0.3682,0.6394,False
巽卦-static,wind / detachment,i,0.192,21,10,0.6,299,0.3682,0.6394,False
兌卦-dynamic,marsh / emission,m,-0.113,22,11,0.64,883,0.3632,0.6394,False
震卦-static,thunder / base,k,0.103,22,11,0.64,1151,0.3731,0.6463,False
震卦-dynamic,thunder / rising,n,0.136,22,11,0.55,807,0.3781,0.6531,False
坎卦-dynamic,water / dispersal,ʊ,0.301,7,3,0.33,61,0.3881,0.6589,False
坎卦-dynamic,water / dispersal,r,0.198,16,7,0.71,275,0.393,0.6589,False
坤卦-static,earth / void,ɑ,-0.197,8,4,0.5,122,0.393,0.6589,False
坎卦-dynamic,water / dispersal,n,-0.161,22,11,0.73,397,0.393,0.6589,False
坤卦-dynamic,earth / stillness,ð,0.16,6,3,0.67,134,0.393,0.6589,False
兌卦-dynamic,marsh / emission,h,0.149,15,10,0.5,392,0.393,0.6589,False
坤卦-static,earth / void,k,0.132,21,10,0.5,538,0.393,0.6589,False
坤卦-static,earth / void,a,0.125,21,10,0.8,1274,0.3881,0.6589,False
