arrive*,"-1.0,1.0,1.0"
collect*,"-1.0,1.0,-1.0"
warn*,"-1.0,1.0,1.0"
sign*,"-1.0,1.0,-1.0"
restrain*,"-1.0,-1.0,-1.0"
allow*,"-1.0,-1.0,-1.0"
forbid*,"-1.0,1.0,1.0"
lead*,"-1.0,-1.0,-1.0"
govern*,"-1.0,-1.0,-1.0"
manage*,"-1.0,-1.0,1.0"
command*,"-1.0,-1.0,1.0"
serve*,"-1.0,-1.0,1.0"
attend*,"-1.0,1.0,1.0"
accompany*,"-1.0,-1.0,1.0"
share*,"-1.0,1.0,1.0"
take-care-of*,"1.0,-1.0,-1.0"
plough*,"-1.0,-1.0,-1.0"
irrigate*,"-1.0,-1.0,1.0"
sow*,"-1.0,-1.0,1.0"
reap*,"-1.0,-1.0,-1.0"
weave*,"-1.0,-1.0,1.0"
hope*,"-1.0,-1.0,1.0"
donate*,"1.0,-1.0,-1.0"
steer*,"-1.0,1.0,-1.0"
guide*,"-1.0,1.0,-1.0"
miss*,"-1.0,1.0,1.0"
miss/*,"-1.0,1.0,1.0"
scold*,"-1.0,-1.0,1.0"
visit*,"-1.0,-1.0,1.0"
fix*,"-1.0,1.0,-1.0"
scoop*,"-1.0,1.0,1.0"
mention*,"-1.0,-1.0,1.0"
explore*,"1.0,-1.0,1.0"
colonize*,"1.0,-1.0,1.0"
roam*,"-1.0,-1.0,1.0"
flat*,"-1.0,1.0,-1.0"
steep*,"1.0,1.0,1.0"
slanted*,"-1.0,-1.0,-1.0"
straight*,"1.0,-1.0,-1.0"
round*,"1.0,-1.0,-1.0"
curved*,"1.0,-1.0,-1.0"
sharp*,"1.0,1.0,-1.0"
blunt*,"1.0,-1.0,-1.0"
smooth*,"-1.0,-1.0,-1.0"
rough*,"-1.0,1.0,-1.0"
tight*,"1.0,1.0,-1.0"
loose*,"1.0,-1.0,-1.0"
strict*,"-1.0,1.0,-1.0"
lenient*,"1.0,-1.0,-1.0"
sparse*,"-1.0,1.0,-1.0"
dense*,"1.0,1.0,-1.0"
clear*,"-1.0,1.0,-1.0"
turbid*,"1.0,-1.0,-1.0"
blurry*,"1.0,-1.0,-1.0"
light*,"-1.0,-1.0,-1.0"
strong*,"-1.0,1.0,-1.0"
light/*,"-1.0,1.0,-1.0"
heavy*,"1.0,1.0,-1.0"
big*,"1.0,-1.0,-1.0"
small*,"1.0,1.0,1.0"
long*,"1.0,-1.0,-1.0"
short*,"1.0,-1.0,-1.0"
wide*,"-1.0,-1.0,-1.0"
narrow*,"-1.0,1.0,-1.0"
thick*,"1.0,1.0,-1.0"
thin*,"-1.0,-1.0,-1.0"
fat*,"-1.0,1.0,-1.0"
slim*,"-1.0,-1.0,-1.0"
thick/*,"1.0,1.0,-1.0"
fine*,"-1.0,-1.0,1.0"
tall*,"1.0,-1.0,-1.0"
short/*,"1.0,1.0,-1.0"
high*,"1.0,-1.0,1.0"
low*,"-1.0,-1.0,-1.0"
deep*,"1.0,-1.0,-1.0"
shallow*,"-1.0,1.0,-1.0"
far*,"-1.0,-1.0,1.0"
near*,"1.0,-1.0,-1.0"
hard*,"1.0,-1.0,1.0"
soft*,"1.0,-1.0,-1.0"
dry*,"1.0,-1.0,-1.0"
wet*,"1.0,1.0,-1.0"
cold*,"-1.0,-1.0,1.0"
hot*,"1.0,1.0,1.0"
warm*,"1.0,-1.0,-1.0"
cool*,"-1.0,-1.0,-1.0"
fragrant*,"1.0,-1.0,-1.0"
stinky*,"1.0,1.0,-1.0"
bitter*,"-1.0,1.0,1.0"
sweet*,"1.0,-1.0,-1.0"
sour*,"1.0,1.0,-1.0"
salty*,"1.0,-1.0,1.0"
spicy*,"-1.0,1.0,1.0"
empty*,"1.0,-1.0,-1.0"
