m̥,nas blb vls
ʃʼ,ejc frc pla vls
,ejc frc pla vcd
ʂʼ,ejc frc rfx vls
,ejc frc rfx vcd
,ejc frc alp vls
,ejc frc alp vcd
,ejc frc pal vls
,ejc frc pal vcd
xʼ,ejc frc vel vls
,ejc frc vel vcd
χʼ,ejc frc uvl vls
,ejc frc uvl vcd
,ejc frc phr vls
,ejc frc phr vcd
,ejc frc glt vls
,ejc frc glt vcd
,lat ejc frc blb vls
,lat ejc frc blb vcd
,lat ejc frc lbd vls
,lat ejc frc lbd vcd
,lat ejc frc dnt vls
,lat ejc frc dnt vcd
ɬʼ,lat ejc frc alv vls
,lat ejc frc alv vcd
,lat ejc frc pla vls
,lat ejc frc pla vcd
,lat ejc frc rfx vls
,lat ejc frc rfx vcd
,lat ejc frc alp vls
,lat ejc frc alp vcd
,lat ejc frc pal vls
,lat ejc frc pal vcd
,lat ejc frc vel vls
,lat ejc frc vel vcd
,lat ejc frc uvl vls
,lat ejc frc uvl vcd
,lat ejc frc phr vls
,lat ejc frc phr vcd
,lat ejc frc glt vls
,lat ejc frc glt vcd
i,hgh fnt unr
y,hgh fnt rnd
ɨ,hgh cnt unr
ʉ,hgh cnt rnd
ɯ,hgh bck unr
u,hgh bck rnd
ɪ,smh fnt unr
ʏ,smh fnt rnd
,smh cnt unr
,smh cnt rnd
,smh bck unr
ʊ,smh bck rnd
e,umd fnt unr
ø,umd fnt rnd
ɘ,umd cnt unr
ɵ,umd cnt rnd
ɤ,umd bck unr
o,umd bck rnd
,mid fnt unr
,mid fnt rnd
ə,mid cnt unr
,mid cnt rnd
,mid bck unr
,mid bck rnd
ɛ,lmd fnt unr
œ,lmd fnt rnd
ɜ,lmd cnt unr
ɞ,lmd cnt rnd
ʌ,lmd bck unr
ɔ,lmd bck rnd
æ,sml fnt unr
,sml fnt rnd
ɐ,sml cnt unr
,sml cnt rnd
,sml bck unr
,sml bck rnd
a,low fnt unr
ɶ,low fnt rnd
,low cnt unr
,low cnt rnd
ɑ,low bck unr
ɒ,low bck rnd
ʰ,asp
ʲ,pzd
,nas bld vls
,nas bld vcd
,nas alv vls
,nas alv vcd
,nas pla vls
,nas pla vcd
,nas pal vls
,nas pal vcd
,nas lbv vls
ŋ͡m,nas lbv vcd
,nas vel vls
,nas vel vcd
,stp bld vls
,stp bld vcd
,stp alv vls
,stp alv vcd
,stp pla vls
,stp pla vcd
,stp pal vls
,stp pal vcd
k͡p,stp lbv vls
ɡ͡b,stp lbv vcd
,stp vel vls
,stp vel vcd
p͡f,afr bld vls
b͡v,afr bld vcd
,afr alv vls
,afr alv vcd
,afr pla vls
,afr pla vcd
,afr pal vls
,afr pal vcd
,afr lbv vls
,afr lbv vcd
,afr vel vls
,afr vel vcd
,vzd frc bld vls
,vzd frc bld vcd
,vzd frc alv vls
,vzd frc alv vcd
ɧ,vzd frc pla vls
,vzd frc pla vcd
,vzd frc pal vls
,vzd frc pal vcd
,vzd frc lbv vls
,vzd frc lbv vcd
,vzd frc vel vls
,vzd frc vel vcd
,ptr apr bld vls
,ptr apr bld vcd
,ptr apr alv vls
,ptr apr alv vcd
,ptr apr pla vls
,ptr apr pla vcd
,ptr apr pal vls
ɥ,ptr apr pal vcd
,ptr apr lbv vls
,ptr apr lbv vcd
ʍ,ptr apr vel vls
w,ptr apr vel vcd
,fzd lat apr bld vls
,fzd lat apr bld vcd
,fzd lat apr alv vls
ɫ,fzd lat apr alv vcd
,fzd lat apr pla vls
,fzd lat apr pla vcd
,fzd lat apr pal vls
,fzd lat apr pal vcd
,fzd lat apr lbv vls
,fzd lat apr lbv vcd
,fzd lat apr vel vls
,fzd lat apr vel vcd
ɚ,unr mid cnt rzd vwl
ɝ,unr lmd cnt rzd vwl
